app_proto,network_port,network_proto,proto,network_description,network_reference,network_known_unauthorized_use,network_notes
qft,189,udp,17,Queued File Transport,,,
gacp,190,tcp,6,Gateway Access Control Protocol,,,
gacp,190,udp,17,Gateway Access Control Protocol,,,
prospero,191,tcp,6,Prospero Directory Service,,,
prospero,191,udp,17,Prospero Directory Service,,,
osu-nms,192,tcp,6,OSU Network Monitoring System,,,
osu-nms,192,udp,17,OSU Network Monitoring System,,,
srmp,193,tcp,6,Spider Remote Monitoring Protocol,,,
srmp,193,udp,17,Spider Remote Monitoring Protocol,,,
irc,194,tcp,6,Internet Relay Chat Protocol,,,
irc,194,udp,17,Internet Relay Chat Protocol,,,
dn6-nlm-aud,195,tcp,6,DNSIX Network Level Module Audit,,,
dn6-nlm-aud,195,udp,17,DNSIX Network Level Module Audit,,,
dn6-smm-red,196,tcp,6,DNSIX Session Mgt Module Audit Redir,,,
dn6-smm-red,196,udp,17,DNSIX Session Mgt Module Audit Redir,,,
dls,197,tcp,6,Directory Location Service,,,
dls,197,udp,17,Directory Location Service,,,
dls-mon,198,tcp,6,Directory Location Service Monitor,,,
dls-mon,198,udp,17,Directory Location Service Monitor,,,
smux,199,tcp,6,SMUX,,,
smux,199,udp,17,SMUX,,,
src,200,tcp,6,IBM System Resource Controller,,,
src,200,udp,17,IBM System Resource Controller,,,
at-rtmp,201,tcp,6,AppleTalk Routing Maintenance,,,
at-rtmp,201,udp,17,AppleTalk Routing Maintenance,,,
at-nbp,202,tcp,6,AppleTalk Name Binding,,,
at-nbp,202,udp,17,AppleTalk Name Binding,,,
at-3,203,tcp,6,AppleTalk Unused,,,
at-3,203,udp,17,AppleTalk Unused,,,
at-echo,204,tcp,6,AppleTalk Echo,,,
at-echo,204,udp,17,AppleTalk Echo,,,
at-5,205,tcp,6,AppleTalk Unused,,,
at-5,205,udp,17,AppleTalk Unused,,,
at-zis,206,tcp,6,AppleTalk Zone Information,,,
at-zis,206,udp,17,AppleTalk Zone Information,,,
at-7,207,tcp,6,AppleTalk Unused,,,
at-7,207,udp,17,AppleTalk Unused,,,
at-8,208,tcp,6,AppleTalk Unused,,,
at-8,208,udp,17,AppleTalk Unused,,,
qmtp,209,tcp,6,The Quick Mail Transfer Protocol,,,
qmtp,209,udp,17,The Quick Mail Transfer Protocol,,,
z39-50,210,tcp,6,"ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50"".",,,
z39.50,210,tcp,6,ANSI Z39.50,,,"This entry is an alias to ""z39-50"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
z39-50,210,udp,17,"ANSI Z39.50
IANA assigned this well-formed service name as a replacement for ""z39.50"".",,,
z39.50,210,udp,17,ANSI Z39.50,,,"This entry is an alias to ""z39-50"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
914c-g,211,tcp,6,"Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g"".",,,
914c/g,211,tcp,6,Texas Instruments 914C/G Terminal,,,"This entry is an alias to ""914c-g"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
914c-g,211,udp,17,"Texas Instruments 914C/G Terminal
IANA assigned this well-formed service name as a replacement for ""914c/g"".",,,
914c/g,211,udp,17,Texas Instruments 914C/G Terminal,,,"This entry is an alias to ""914c-g"".
This entry is now historic, not usable for use with many
common service discovery mechanisms."
anet,212,tcp,6,ATEXSSTR,,,
anet,212,udp,17,ATEXSSTR,,,
ipx,213,tcp,6,IPX,,,
